CaO.scf.a=9.215.ecut=70.k=4.out:!    total energy              =    -110.77252202 Ry
CaO.scf.a=9.220.ecut=70.k=4.out:!    total energy              =    -110.77249037 Ry
CaO.scf.a=9.225.ecut=70.k=4.out:!    total energy              =    -110.77240928 Ry
CaO.scf.a=9.230.ecut=70.k=4.out:!    total energy              =    -110.77231640 Ry
CaO.scf.a=9.235.ecut=70.k=4.out:!    total energy              =    -110.77223735 Ry
CaO.scf.a=9.240.ecut=70.k=4.out:!    total energy              =    -110.77216731 Ry
CaO.scf.a=9.245.ecut=70.k=4.out:!    total energy              =    -110.77207898 Ry
CaO.scf.a=9.25.ecut=70.k=4.out:!    total energy              =    -110.77200512 Ry
CaO.scf.a=9.250.ecut=70.k=4.out:!    total energy              =    -110.77200512 Ry
CaO.scf.a=9.30.ecut=70.k=4.out:!    total energy              =    -110.77094105 Ry
CaO.scf.a=9.35.ecut=70.k=4.out:!    total energy              =    -110.76959653 Ry
CaO.scf.a=9.40.ecut=70.k=4.out:!    total energy              =    -110.76798737 Ry
CaO.scf.a=9.45.ecut=70.k=4.out:!    total energy              =    -110.76611158 Ry
CaO.scf.a=9.50.ecut=70.k=4.out:!    total energy              =    -110.76392217 Ry
CaO.scf.a=9.55.ecut=70.k=4.out:!    total energy              =    -110.76154635 Ry
CaO.scf.a=9.60.ecut=70.k=4.out:!    total energy              =    -110.75891402 Ry
CaO.scf.a=9.65.ecut=70.k=4.out:!    total energy              =    -110.75607233 Ry
CaO.scf.a=9.70.ecut=70.k=4.out:!    total energy              =    -110.75307971 Ry
CaO.scf.a=9.75.ecut=70.k=4.out:!    total energy              =    -110.74983151 Ry
CaO.scf.a=9.80.ecut=70.k=4.out:!    total energy              =    -110.74643036 Ry
CaO.scf.a=9.85.ecut=70.k=4.out:!    total energy              =    -110.74283293 Ry
CaO.scf.a=9.90.ecut=70.k=4.out:!    total energy              =    -110.73914537 Ry
CaO.scf.a=9.95.ecut=70.k=4.out:!    total energy              =    -110.73523520 Ry
