

# ========== Energy Minimization ==========
thermo          1
thermo_style    custom step pe lx ly lz vol temp press
minimize 1.0e-10 1.0e-10 1000000 100000
Switching to 'neigh_modify every 1 delay 0 check yes' setting during minimization
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
WARNING: Energy due to 3 extra global DOFs will be included in minimizer energies
 (../min.cpp:219)
Per MPI rank memory allocation (min/avg/max) = 4.091 | 4.091 | 4.091 Mbytes
   Step         PotEng           Lx             Ly             Lz           Volume          Temp          Press     
        49  -0.12386714     6.7801374      6.7801374      4.755          218.5886       0             -1792.2833    
        50  -0.12447213     6.7757903      6.7757903      4.75           218.07884      0             -1805.104     
        51  -0.12508027     6.7714491      6.7714491      4.745          217.57022      0             -1818.0185    
        52  -0.12569158     6.7671136      6.7671136      4.74           217.06274      0             -1831.0277    
        53  -0.12630609     6.7627841      6.7627841      4.735          216.5564       0             -1844.1321    
        54  -0.12692379     6.7584604      6.7584604      4.73           216.0512       0             -1857.3323    
        55  -0.12754472     6.7541426      6.7541426      4.725          215.54714      0             -1870.6293    
        56  -0.12816889     6.7498307      6.7498307      4.72           215.04421      0             -1884.0236    
        57  -0.12879632     6.7455247      6.7455247      4.715          214.54242      0             -1897.5159    
        58  -0.12942702     6.7412246      6.7412246      4.71           214.04176      0             -1911.107     
        59  -0.13006101     6.7369305      6.7369305      4.705          213.54223      0             -1924.7975    
        60  -0.13069832     6.7326424      6.7326424      4.7            213.04383      0             -1938.5882    
        61  -0.13133895     6.7283603      6.7283603      4.695          212.54656      0             -1952.4797    
        62  -0.13198294     6.7240841      6.7240841      4.69           212.05041      0             -1966.473     
        63  -0.13263028     6.719814       6.719814       4.685          211.55539      0             -1980.5685    
        64  -0.13328101     6.7155499      6.7155499      4.68           211.0615       0             -1994.7671    
        65  -0.13393514     6.7112919      6.7112919      4.675          210.56873      0             -2009.0696    
        66  -0.1345927      6.7070399      6.7070399      4.67           210.07707      0             -2023.4767    
        67  -0.13525369     6.702794       6.702794       4.665          209.58654      0             -2037.9891    
        68  -0.13591814     6.6985542      6.6985542      4.66           209.09713      0             -2052.6076    
        69  -0.13658607     6.6943205      6.6943205      4.655          208.60883      0             -2067.333     
        70  -0.13725749     6.6900929      6.6900929      4.65           208.12164      0             -2082.166     
        71  -0.13793243     6.6858714      6.6858714      4.645          207.63557      0             -2097.1074    
